Shot number R625
%Type of Solver: Non-equilibrium
%Chemical kinetic model: 12 species Martian air (With ionisation)
%Area ratio of the nozzle: 1.600000e+03
%Experimental data provided by the user
% 	 Incident shock velocity: 3192 ms^-1       
%	 Driven tube fill pressure:6.000000e-02 bar        
%	 Driven tube temperature:300 K          
%	 Reservoir pressure (p5):5.286000e+01 bar 
%	 Free stream pitot pressure (p02):6.560000e-02 bar 
%	 Free stream stagnationpoint heat flux (q):230 Wm^-2 
%Nozzle inlet conditions
% 	 Pressure(P5): 5.286000e+01 bar       
% 	 Temperature(T5): 3.111100e+03 K       
% 	 Enthalpy(h5): -3804 kJ/kgK       
% 	 Density(rho5): 8.106100e+00 kg/m^3       
% 	 Species Mass fraction [Ar C N O C2 N2 O2 CN CO NO CO2 NCO C+ O+ CO+ NO+ e-]: 0.019302  1.6457e-12  2.0825e-07   0.0025475  4.7946e-18    0.016852    0.063711  1.8331e-10      0.1181   0.0043896      0.7751    1.94e-08  1.5761e-27  9.3518e-21  1.0155e-18  1.5325e-11  2.8018e-16        
% 	 Gamma(gamma5): 1.117600e+00        
%Noneq simulation started 6.409455e-04% downstream of throat.
%Concentrations listed in mass fractions
       %A/A*   rho(kg/m3)         T(K)        P(pa)       u(m/s)           Ar            C            N            O           C2           N2           O2           CN           CO           NO          CO2          NCO           C+           O+          CO+          NO+           e-
1.000500e+00 5.805700e+00 2.612600e+03 2.993237e+06 7.772068e+02 1.930100e-02 2.441100e-15 7.989200e-09 2.950600e-04 5.749700e-22 1.832300e-02 2.262700e-02 1.786400e-12 3.939600e-02 1.393800e-03 8.986600e-01 7.919900e-10 3.975200e-26 9.536600e-20 9.173900e-18 4.737700e-11 7.792600e-16
1.000502e+00 5.803524e+00 2.612436e+03 2.991927e+06 7.774971e+02 1.930100e-02 3.727475e-10 7.987730e-09 2.950595e-04 4.445707e-21 1.832300e-02 2.262700e-02 1.922452e-12 3.939600e-02 1.393800e-03 8.986600e-01 7.965244e-10 2.109015e-25 9.536600e-20 9.198115e-18 4.737700e-11 7.792600e-16
1.000503e+00 5.801677e+00 2.612297e+03 2.990816e+06 7.777434e+02 1.930100e-02 7.440309e-10 7.986255e-09 2.950590e-04 1.614029e-20 1.832300e-02 2.262700e-02 2.331641e-12 3.939600e-02 1.393800e-03 8.986600e-01 8.010432e-10 7.230878e-25 9.536600e-20 9.270567e-18 4.737700e-11 7.792600e-16
1.000505e+00 5.800042e+00 2.612174e+03 2.989832e+06 7.779613e+02 1.930100e-02 1.113957e-09 7.984777e-09 2.950585e-04 3.580388e-20 1.832300e-02 2.262700e-02 3.011389e-12 3.939600e-02 1.393800e-03 8.986600e-01 8.055489e-10 1.574320e-24 9.536600e-20 9.390955e-18 4.737700e-11 7.792600e-16
1.000506e+00 5.798561e+00 2.612063e+03 2.988941e+06 7.781589e+02 1.930100e-02 1.482597e-09 7.983297e-09 2.950580e-04 6.358805e-20 1.832300e-02 2.262701e-02 3.959249e-12 3.939600e-02 1.393800e-03 8.986600e-01 8.100441e-10 2.762799e-24 9.536600e-20 9.559007e-18 4.737700e-11 7.792600e-16
1.000509e+00 5.796008e+00 2.611871e+03 2.987406e+06 7.784991e+02 1.930100e-02 2.189610e-09 7.980444e-09 2.950571e-04 1.406536e-19 1.832300e-02 2.262701e-02 6.533104e-12 3.939600e-02 1.393800e-03 8.986600e-01 8.186857e-10 5.998105e-24 9.536600e-20 1.001636e-17 4.737700e-11 7.792600e-16
1.000512e+00 5.793747e+00 2.611700e+03 2.986046e+06 7.788006e+02 1.930100e-02 2.892310e-09 7.977593e-09 2.950562e-04 2.496194e-19 1.832300e-02 2.262701e-02 1.007790e-11 3.939600e-02 1.393800e-03 8.986600e-01 8.273111e-10 1.046890e-23 9.536600e-20 1.064816e-17 4.737700e-11 7.792600e-16
1.000518e+00 5.790245e+00 2.611436e+03 2.983939e+06 7.792675e+02 1.930100e-02 4.117651e-09 7.972595e-09 2.950545e-04 5.223059e-19 1.832300e-02 2.262702e-02 1.861341e-11 3.939600e-02 1.393800e-03 8.986600e-01 8.424776e-10 2.129057e-23 9.536599e-20 1.217681e-17 4.737700e-11 7.792601e-16
1.000523e+00 5.787165e+00 2.611204e+03 2.982086e+06 7.796780e+02 1.930100e-02 5.331016e-09 7.967626e-09 2.950529e-04 9.039844e-19 1.832300e-02 2.262702e-02 3.002119e-11 3.939600e-02 1.393800e-03 8.986600e-01 8.577092e-10 3.584869e-23 9.536599e-20 1.423229e-17 4.737700e-11 7.792601e-16
1.000532e+00 5.782808e+00 2.610875e+03 2.979466e+06 7.802588e+02 1.930100e-02 7.255077e-09 7.959727e-09 2.950502e-04 1.762872e-18 1.832300e-02 2.262703e-02 5.414098e-11 3.939600e-02 1.393800e-03 8.986600e-01 8.824727e-10 6.691253e-23 9.536598e-20 1.861543e-17 4.737700e-11 7.792602e-16
1.000540e+00 5.778960e+00 2.610585e+03 2.977152e+06 7.807716e+02 1.930100e-02 9.151252e-09 7.951946e-09 2.950476e-04 2.950447e-18 1.832300e-02 2.262704e-02 8.516537e-11 3.939600e-02 1.393800e-03 8.986600e-01 9.078430e-10 1.073132e-22 9.536597e-20 2.431168e-17 4.737700e-11 7.792603e-16
1.000554e+00 5.773479e+00 2.610170e+03 2.973856e+06 7.815021e+02 1.930100e-02 1.215216e-08 7.939695e-09 2.950434e-04 5.638718e-18 1.832300e-02 2.262705e-02 1.489661e-10 3.939600e-02 1.393800e-03 8.986600e-01 9.506590e-10 1.916796e-22 9.536594e-20 3.619383e-17 4.737700e-11 7.792605e-16
1.000568e+00 5.768629e+00 2.609804e+03 2.970941e+06 7.821483e+02 1.930100e-02 1.508746e-08 7.927848e-09 2.950393e-04 9.395746e-18 1.832300e-02 2.262706e-02 2.288507e-10 3.939600e-02 1.393800e-03 8.986599e-01 9.966327e-10 2.992926e-22 9.536591e-20 5.132877e-17 4.737700e-11 7.792608e-16
1.000590e+00 5.761840e+00 2.609290e+03 2.966860e+06 7.830528e+02 1.930100e-02 1.959572e-08 7.910058e-09 2.950328e-04 1.785423e-17 1.832300e-02 2.262708e-02 3.851147e-10 3.939600e-02 1.393800e-03 8.986599e-01 1.077767e-09 5.151765e-22 9.536585e-20 8.162676e-17 4.737700e-11 7.792614e-16
1.000612e+00 5.755813e+00 2.608833e+03 2.963238e+06 7.838556e+02 1.930100e-02 2.395682e-08 7.893492e-09 2.950265e-04 2.988059e-17 1.832300e-02 2.262710e-02 5.750856e-10 3.939600e-02 1.393799e-03 8.986599e-01 1.171808e-09 7.857463e-22 9.536578e-20 1.194911e-16 4.737700e-11 7.792621e-16
1.000646e+00 5.747447e+00 2.608199e+03 2.958212e+06 7.849698e+02 1.930100e-02 3.048728e-08 7.870319e-09 2.950169e-04 5.717176e-17 1.832300e-02 2.262713e-02 9.305481e-10 3.939601e-02 1.393799e-03 8.986599e-01 1.350320e-09 1.313236e-21 9.536564e-20 1.929811e-16 4.737700e-11 7.792635e-16
1.000680e+00 5.739997e+00 2.607633e+03 2.953736e+06 7.859617e+02 1.930100e-02 3.670058e-08 7.850686e-09 2.950075e-04 9.666165e-17 1.832300e-02 2.262716e-02 1.348044e-09 3.939601e-02 1.393798e-03 8.986598e-01 1.573723e-09 1.964324e-21 9.536548e-20 2.831360e-16 4.737700e-11 7.792653e-16
1.000730e+00 5.730147e+00 2.606884e+03 2.947821e+06 7.872732e+02 1.930100e-02 4.534969e-08 7.828743e-09 2.949941e-04 1.819093e-16 1.832300e-02 2.262720e-02 2.056971e-09 3.939601e-02 1.393797e-03 8.986598e-01 1.998000e-09 3.143570e-21 9.536520e-20 4.449174e-16 4.737699e-11 7.792684e-16
